"planName","gender","network","copay","freaquency","ageStart","ageEnd","coverage","rates"
"familyCare","male","GOLD","50-0-0","Annually",0,0,"Worldwide including USA","8415.09"
"familyCare","female","GOLD","50-0-0","Annually",0,0,"Worldwide including USA","8415.09"
"familyCare","male","GOLD","50-0-10","Annually",0,0,"Worldwide including USA","8192.07"
"familyCare","female","GOLD","50-0-10","Annually",0,0,"Worldwide including USA","8192.07"
"familyCare","male","GOLD","50-0-20","Annually",0,0,"Worldwide including USA","7952.74"
"familyCare","female","GOLD","50-0-20","Annually",0,0,"Worldwide including USA","7952.74"
"familyCare","male","GOLD","50-0-30","Annually",0,0,"Worldwide including USA","7675.33"
"familyCare","female","GOLD","50-0-30","Annually",0,0,"Worldwide including USA","7675.33"
"familyCare","male","GOLD","25-0-0","Annually",0,0,"Worldwide including USA","9062.40"
"familyCare","female","GOLD","25-0-0","Annually",0,0,"Worldwide including USA","9062.40"
"familyCare","male","GOLD","25-0-10","Annually",0,0,"Worldwide including USA","8812.85"
"familyCare","female","GOLD","25-0-10","Annually",0,0,"Worldwide including USA","8812.85"
"familyCare","male","GOLD","25-0-20","Annually",0,0,"Worldwide including USA","8545.03"
"familyCare","female","GOLD","25-0-20","Annually",0,0,"Worldwide including USA","8545.03"
"familyCare","male","GOLD","25-0-30","Annually",0,0,"Worldwide including USA","8234.61"
"familyCare","female","GOLD","25-0-30","Annually",0,0,"Worldwide including USA","8234.61"
"familyCare","male","SilverPremium","50-0-0","Annually",0,0,"Worldwide including USA","7486.98"
"familyCare","female","SilverPremium","50-0-0","Annually",0,0,"Worldwide including USA","7486.98"
"familyCare","male","SilverPremium","50-0-10","Annually",0,0,"Worldwide including USA","7294.89"
"familyCare","female","SilverPremium","50-0-10","Annually",0,0,"Worldwide including USA","7294.89"
"familyCare","male","SilverPremium","50-0-20","Annually",0,0,"Worldwide including USA","7088.75"
"familyCare","female","SilverPremium","50-0-20","Annually",0,0,"Worldwide including USA","7088.75"
"familyCare","male","SilverPremium","50-0-30","Annually",0,0,"Worldwide including USA","6849.81"
"familyCare","female","SilverPremium","50-0-30","Annually",0,0,"Worldwide including USA","6849.81"
"familyCare","male","SilverPremium","25-0-0","Annually",0,0,"Worldwide including USA","8044.53"
"familyCare","female","SilverPremium","25-0-0","Annually",0,0,"Worldwide including USA","8044.53"
"familyCare","male","SilverPremium","25-0-10","Annually",0,0,"Worldwide including USA","7829.58"
"familyCare","female","SilverPremium","25-0-10","Annually",0,0,"Worldwide including USA","7829.58"
"familyCare","male","SilverPremium","25-0-20","Annually",0,0,"Worldwide including USA","7598.91"
"familyCare","female","SilverPremium","25-0-20","Annually",0,0,"Worldwide including USA","7598.91"
"familyCare","male","SilverPremium","25-0-30","Annually",0,0,"Worldwide including USA","7331.53"
"familyCare","female","SilverPremium","25-0-30","Annually",0,0,"Worldwide including USA","7331.53"
"familyCare","male","SilverClassic","50-0-0","Annually",0,0,"Worldwide including USA","5698.71"
"familyCare","female","SilverClassic","50-0-0","Annually",0,0,"Worldwide including USA","5698.71"
"familyCare","male","SilverClassic","50-0-10","Annually",0,0,"Worldwide including USA","5548.35"
"familyCare","female","SilverClassic","50-0-10","Annually",0,0,"Worldwide including USA","5548.35"
"familyCare","male","SilverClassic","50-0-20","Annually",0,0,"Worldwide including USA","5386.99"
"familyCare","female","SilverClassic","50-0-20","Annually",0,0,"Worldwide including USA","5386.99"
"familyCare","male","SilverClassic","50-0-30","Annually",0,0,"Worldwide including USA","5199.96"
"familyCare","female","SilverClassic","50-0-30","Annually",0,0,"Worldwide including USA","5199.96"
"familyCare","male","SilverClassic","25-0-0","Annually",0,0,"Worldwide including USA","6135.13"
"familyCare","female","SilverClassic","25-0-0","Annually",0,0,"Worldwide including USA","6135.13"
"familyCare","male","SilverClassic","25-0-10","Annually",0,0,"Worldwide including USA","5966.88"
"familyCare","female","SilverClassic","25-0-10","Annually",0,0,"Worldwide including USA","5966.88"
"familyCare","male","SilverClassic","25-0-20","Annually",0,0,"Worldwide including USA","5786.32"
"familyCare","female","SilverClassic","25-0-20","Annually",0,0,"Worldwide including USA","5786.32"
"familyCare","male","SilverClassic","25-0-30","Annually",0,0,"Worldwide including USA","5577.03"
"familyCare","female","SilverClassic","25-0-30","Annually",0,0,"Worldwide including USA","5577.03"
"familyCare","male","Green","50-0-0","Annually",0,0,"Worldwide including USA","4372.65"
"familyCare","female","Green","50-0-0","Annually",0,0,"Worldwide including USA","4372.65"
"familyCare","male","Green","50-0-10","Annually",0,0,"Worldwide including USA","4260.95"
"familyCare","female","Green","50-0-10","Annually",0,0,"Worldwide including USA","4260.95"
"familyCare","male","Green","50-0-20","Annually",0,0,"Worldwide including USA","4141.08"
"familyCare","female","Green","50-0-20","Annually",0,0,"Worldwide including USA","4141.08"
"familyCare","male","Green","50-0-30","Annually",0,0,"Worldwide including USA","4002.14"
"familyCare","female","Green","50-0-30","Annually",0,0,"Worldwide including USA","4002.14"
"familyCare","male","Green","25-0-0","Annually",0,0,"Worldwide including USA","4696.87"
"familyCare","female","Green","25-0-0","Annually",0,0,"Worldwide including USA","4696.87"
"familyCare","male","Green","25-0-10","Annually",0,0,"Worldwide including USA","4571.88"
"familyCare","female","Green","25-0-10","Annually",0,0,"Worldwide including USA","4571.88"
"familyCare","male","Green","25-0-20","Annually",0,0,"Worldwide including USA","4437.74"
"familyCare","female","Green","25-0-20","Annually",0,0,"Worldwide including USA","4437.74"
"familyCare","male","Green","25-0-30","Annually",0,0,"Worldwide including USA","4282.26"
"familyCare","female","Green","25-0-30","Annually",0,0,"Worldwide including USA","4282.26"
"familyCare","male","Emerald","50-0-0","Annually",0,0,"Worldwide including USA","3806.77"
"familyCare","female","Emerald","50-0-0","Annually",0,0,"Worldwide including USA","3806.77"
"familyCare","male","Emerald","50-0-10","Annually",0,0,"Worldwide including USA","3709.60"
"familyCare","female","Emerald","50-0-10","Annually",0,0,"Worldwide including USA","3709.60"
"familyCare","male","Emerald","50-0-20","Annually",0,0,"Worldwide including USA","3605.32"
"familyCare","female","Emerald","50-0-20","Annually",0,0,"Worldwide including USA","3605.32"
"familyCare","male","Emerald","50-0-30","Annually",0,0,"Worldwide including USA","3484.45"
"familyCare","female","Emerald","50-0-30","Annually",0,0,"Worldwide including USA","3484.45"
"familyCare","male","Emerald","25-0-0","Annually",0,0,"Worldwide including USA","4088.81"
"familyCare","female","Emerald","25-0-0","Annually",0,0,"Worldwide including USA","4088.81"
"familyCare","male","Emerald","25-0-10","Annually",0,0,"Worldwide including USA","3980.07"
"familyCare","female","Emerald","25-0-10","Annually",0,0,"Worldwide including USA","3980.07"
"familyCare","male","Emerald","25-0-20","Annually",0,0,"Worldwide including USA","3863.39"
"familyCare","female","Emerald","25-0-20","Annually",0,0,"Worldwide including USA","3863.39"
"familyCare","male","Emerald","25-0-30","Annually",0,0,"Worldwide including USA","3728.13"
"familyCare","female","Emerald","25-0-30","Annually",0,0,"Worldwide including USA","3728.13"
"familyCare","male","Pearl","50-0-0","Annually",0,0,"Worldwide including USA","3219.14"
"familyCare","female","Pearl","50-0-0","Annually",0,0,"Worldwide including USA","3219.14"
"familyCare","male","Pearl","50-0-10","Annually",0,0,"Worldwide including USA","3137.05"
"familyCare","female","Pearl","50-0-10","Annually",0,0,"Worldwide including USA","3137.05"
"familyCare","male","Pearl","50-0-20","Annually",0,0,"Worldwide including USA","3048.96"
"familyCare","female","Pearl","50-0-20","Annually",0,0,"Worldwide including USA","3048.96"
"familyCare","male","Pearl","50-0-30","Annually",0,0,"Worldwide including USA","2946.84"
"familyCare","female","Pearl","50-0-30","Annually",0,0,"Worldwide including USA","2946.84"
"familyCare","male","Pearl","25-0-0","Annually",0,0,"Worldwide including USA","3457.41"
"familyCare","female","Pearl","25-0-0","Annually",0,0,"Worldwide including USA","3457.41"
"familyCare","male","Pearl","25-0-10","Annually",0,0,"Worldwide including USA","3365.55"
"familyCare","female","Pearl","25-0-10","Annually",0,0,"Worldwide including USA","3365.55"
"familyCare","male","Pearl","25-0-20","Annually",0,0,"Worldwide including USA","3266.97"
"familyCare","female","Pearl","25-0-20","Annually",0,0,"Worldwide including USA","3266.97"
